,question,answer,domain
7297,What is (are) allo-parapatric speciation?,A mode of speciation where divergence occurs in allopatry and is completed upon secondary contact of the populations--effectively a form of reinforcement.,biology
7298,What is (are) allometry?,"The comparative study of the relationship between the size of an organism's body (or of a specific organ, e.g. the brain) and various other biological characteristics, such as body shape, anatomy, physiology, or behavior. In allopatric speciation, a population becomes separated by a geographic barrier and reproductive isolation results in two separate species.",biology
7299,What is (are) allopatric speciation?,"Also called geographic speciation, vicariance, vicariant speciation, and dichopatric speciation. A mode of speciation where the evolution of reproductive isolation is caused by the geographic separation of two or more populations of a single species.",biology
7300,What is (are) allopatric taxa?,Specific species that are allopatrically distributed.,biology
7301,What is (are) allopatry?,The phenomenon by which two or more populations of a single species exist in geographic isolation from one another.,biology
7302,What is (are) allopolyploid?,"A polyploid cell or organism in which the several sets of chromosomes originate from more than one species, as in an intraspecific hybrid.",biology
7303,What is (are) allo-sympatric speciation?,A mode of speciation where divergence occurs in allopatry and is completed upon secondary contact of the populations–effectively a form of reinforcement.,biology
7304,What is (are) anagenesis?,Evolutionary change that occurs within a species lineage as opposed to lineage splitting (cladogenesis).,biology
7305,What is (are) analogous structures?,A set of morphological structures in different organisms which have similar form or function but were not present in the organisms' last common ancestor. The cladistic term for the same phenomenon is homoplasy.,biology
7306,What is (are) ancestral trait?,"Also called an ancestral character, primitive character, or primitive trait. For a given clade, any trait or feature (e.g. a specific phenotype) that appears in the clade's common ancestor; the same trait may also appear in some or all of the lineal descendants included within the clade, indicating that it has undergone little or no significant change during the clade's evolutionary history and thus retained its ""primitive"" condition. Some but not all subgroups within the clade may contain derived traits, in which the ancestral trait has changed significantly over evolutionary time such that the original ancestral condition no longer exists. Both terms are relative: an ancestral trait for one clade may be a derived trait for a different clade. The term ""ancestral trait"" is often used interchangeably with the more technical term plesiomorphy.",biology
7307,What is (are) anticipation?,A phenomenon by which the symptoms of a genetic disorder become apparent (and often more severe) at an earlier age in affected individuals with each generation that inherits the disorder.,biology
7308,What is (are) apomorphy?,"A derived character state; i.e. the state or condition of a particular trait or feature (e.g. a specific phenotype) that is distinct from and derivative of an ancestral character by virtue of its modification over time in one or more lineal descendants of a given clade. Apomorphies are often viewed as evolutionary ""innovations"" which set the taxa in which they appear apart from the clade's common ancestor, as well as from other clades; shared apomorphies are used to construct and define clades. The term is relative; a trait considered an apomorphy in one clade may not be considered an apomorphy in a different clade. Contrast plesiomorphy. An apomorphy is a derived trait present in one or more members of a clade but not the common ancestor; a plesiomorphy is an ancestral trait present in the common ancestor of the clade and possibly some or all of its descendants.",biology
7309,What is (are) aptation?,"Any character or phenotypic trait that is currently subject to natural selection, whether its origin can be ascribed to selective processes (adaptation) or to processes other than selection or selection for a function that is different from the current function (exaptation).",biology
7310,What is (are) associative overdominance?,The phenomenon by which the linkage of a neutral locus to a selectively maintained polymorphism causes the heterozygosity of the neutral locus to increase.,biology
7311,What is (are) assortative mating?,Also called positive assortative mating and homogamy. A mating system in which individuals with similar phenotypes mate with each other more frequently than would be expected in a completely random mating system. Assortative mating usually has the effect of increasing genetic relatedness between members of the mating population. Contrast disassortative mating.,biology
7312,What is (are) atavism?,"A modification of a biological structure whereby an ancestral trait suddenly reappears after having been lost through evolutionary change in previous generations. Atavisms can occur in a number of different ways, including by the re-expression of latent genes for ancestral phenotypes as a result of mutation, or by the shortening or prolongation of the time allocated for the ontogenesis of a particular trait during development.",biology
7313,What is (are) backcrossing?,"Also testcrossing. The breeding of a hybrid organism with one of its parents or an individual genetically similar to one of its parents, often intentionally as a type of selective breeding, with the aim of producing offspring with a genetic identity which is closer to that of the parent. The reproductive event and the resulting progeny are both referred to as a backcross, often abbreviated in genetics shorthand with the symbol BC.",biology
7314,What is (are) bateson–dobzhansky–muller model?,"Also simply called the Dobzhansky–Muller model. An evolutionary model of the genetic incompatibility that occurs as a result of negative epistatic interactions between two or more genes or alleles with different evolutionary histories, which may meet when distinct populations hybridize. The incompatible genes or alleles themselves, referred to as Dobzhansky–Muller incompatibilities, may be the result of random or neutral mutations, or they may be specific adaptations driven by natural selection. By preventing populations from successfully interbreeding, these incompatibilities can reinforce reproductive isolation and thereby increase the chance of speciation.",biology
7315,What is (are) biogeography?,"The scientific study of the spatial distributions of biological organisms, populations, and species. It includes the study of both extinct and extant organisms.",biology
7316,What is (are) canalisation?,"The ability of a population to consistently produce the same phenotype regardless of the variability of its environment or the genetic variation within its genome. The concept is most often used in developmental biology to interpret the observation that developmental pathways are frequently shaped by natural selection such that developing cell lineages are ""guided"" or ""canalized"" towards a single, definite fate, becoming progressively more resistant to any minor perturbations that may redirect development of the cells away from their initial course.",biology
